,,□,商店街（代表者）,販売量の動き,・人通りは今までとあまり変化はないが、特売品を出しても客の反応は今一つで数が出ていない。,,
,,□,一般小売店［精肉］（経営者）,お客様の様子,・今月の暑さは格別である。催物や連休などで大幅に上昇したが、２～３日前から大分減少傾向が続いて頭打ち状態である。,,
,,□,百貨店（営業担当）,販売量の動き,・残暑の影響で月の前半は紳士、婦人共に非常に苦戦したが、後半に店のマーケティングとして実施した、友の会の２倍ポイントが非常に盛況で多くの客が来店している。,,
,,□,百貨店（販売促進担当）,販売量の動き,・残暑が厳しく、月の前半は秋物衣料品の動きが鈍く、後半ようやく動き始めたが、前半に落とした分をカバーしきれていない。食料品、服飾雑貨は前年並みである。,,
,,□,スーパー（経営者）,単価の動き,・中国産食品の問題が露呈されてから、国産の食品へシフトしているためか、単価が少し上向いている。,,
,,□,スーパー（統括）,販売量の動き,・異常ともいえる残暑のため、秋物衣料（特にアウター）は大苦戦である。婦人の帽子、日傘などのＵＶケアと敬老の日関連の温泉繊維インナーは大きく伸びている。食品は食育としてのメニュー提案が若い主婦層から支持を受け、好調に推移している。,,
,,□,コンビニ（経営者）,来客数の動き,・売上、来客数共に少しずつ戻ってきている。,,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車が発売になり来客数は約10％増加したが、販売台数は前年比88％と全く景気の回復が感じられない。,,
,,□,スナック（経営者）,来客数の動き,・通行量が落ち込んだままで、来客数も回復していない。メインの通りだけでなく、市内全体の夜間の人出が落ち込んでいるようで、以前と比べて車の量もかなり少なくなっている。,,
,,□,観光型ホテル（スタッフ）,来客数の動き,・今月は前年同月比150％の入込で良くなっているようにみえるが、前年同月実績があまりにも低く、通常の集客では埋まらないだろうと早い段階で価格を下げたことで、ある程度の入込数を確保できたということがある。実際、単価を落として集客した分、人数の割りに売上はそれほど伸びていない。,,
,,□,都市型ホテル（スタッフ）,販売量の動き,・近隣に脚光を浴びる地域があり、当市は歴史と伝統にしがみついているような印象がぬぐえない。消費動向が近隣地域へ移行してしまっている現状で、市内全域に閉そく感が漂い、なかなか脱却できない。,,
,,□,旅行代理店（副支店長）,単価の動き,・個人層は相変わらず安価なネットでの情報を得て来店しており、どうしても単価が上がらない状況が続いている。来客数もあまり変わらない。,,
,,□,タクシー（経営者）,お客様の様子,・暑さのお陰で昼間の動きが良く、前年同月比で５％の増収につながっている。,,
,,□,通信会社（営業担当）,お客様の様子,・ここ最近消費者の二極化を強く感じることが多い。富裕層の場合、金銭的に余裕がある分、現状維持の傾向が強く、安さではあまり動かないので、景気は良くなってきても個人消費が上向きになっているとはあまり実感できない。,,
,,□,ゴルフ場（従業員）,来客数の動き,・来客数は前月まで順調に伸びてきていたが、今月は台風と総裁選の関係で今までより落ちている。単価は若干上がっている。,,
,,□,ゴルフ場（支配人）,お客様の様子,・７～９月は月単位で自然環境が変化している。９月は台風、大雨が多く、予約はあったものの、キャンセルが多くなっている。昔と違い、今のゴルファーは雨の天気予報だけでもキャンセルをしている。,,
,,□,設計事務所（所長）,単価の動き,・景気が悪いまま変わらない状況の中で、仕事があっても単価は極めて安く、依頼する側も安いのが当たり前のような感覚でいる。仕事量が少ないので、安い単価でもやらざるを得ない状態である。,,
