,,×,一般小売店［書籍］（経営者）,販売量の動き,・年始の売上はそれなりであったが、三が日以降の売上に全く動きがみられていない。さらに、今年は前年のような売行きの好調な商材がないこともあり、売上は最悪の状況である。,
,,×,一般小売店［医薬品］（経営者）,お客様の様子,・繁華街にもかかわらず、新年会で飲み歩く人の数が非常に少ない。また、インフルエンザが大流行しているが、皆が病院へ行くため風邪薬を購入する客も少なく、前年と比較して売上が10％減少している。,
,,×,スーパー（経営者）,お客様の様子,・年末商戦に引き続いて、年始商戦においても例年に比べて節約志向が急速に強まっている。,
,,×,コンビニ（エリア担当）,来客数の動き,・年末年始から来客数に改善がみられず、低調のまま推移している。特に太平洋に面した県の動きが悪い状態である。,
,,×,衣料品専門店（経営者）,来客数の動き,・寒さと雪、風邪などの流行により客足が止まっている。,
,,×,住関連専門店（経営者）,販売量の動き,・受注量が少ないため、販売量も比例して減少している。,
,,×,住関連専門店（経営者）,来客数の動き,・初売りなどを企画していない当店は売上に苦慮している。カタログ販売に動きはあるものの、納品は２月のため１月の売上には結び付いていない。,
,,×,高級レストラン（経営者）,来客数の動き,・来客数の減少が著しい。土日祝日に入る祝い事などは余り減ってはいないが、企業の動きが非常に悪く、その分の埋め合わせもない状態である。,
,,×,一般レストラン（経営者）,競争相手の様子,・市場で出会う同業者からは、例年よりも売上が良くないと聞いている。市場関係者も同様の様子であり、景気は悪い方向に向かっている。,
"企業
動向
関連

(東北)",,◎,－,－,－,
,,○,窯業・土石製品製造業（役員）,受注量や販売量の動き,・地域間の格差はあるものの、前月よりは出荷量が回復している。ただし、前年同期比では依然としてマイナスとなっている。,
,,○,建設業（従業員）,受注量や販売量の動き,・大型工事の入札結果が複数確認できており、各社の受注量が伸びている様子である。,
,,○,金融業（広報担当）,取引先の様子,・出荷量が安定しているりんごのほか、2018年産米の相対取引価格が例年と比較して好調に推移している。また、地元漁港の水揚げ額も、良型サバの好調により前年を上回るなど一次産業が地場経済をけん引している。,
,,□,農林水産業（従業者）,受注価格や販売価格の動き,・天候不順により例年よりも果物の着色が悪く、販売単価が良くない状態である。,
,,□,農林水産業（従業者）,それ以外,・平成30年産の米は天候不順により収穫量が大幅に減少している。共済組合による共済金の支払が期待されたものの、該当条件が厳しく期待外れに終わっている。,
,,□,食料品製造業（営業担当）,受注量や販売量の動き,・販売量の前年割れが続くなど、厳しい状況が続いている。,
,,□,出版・印刷・同関連産業（経理担当）,受注量や販売量の動き,・景気は悪いまま横ばいで推移しており、３か月前も今月も売上の前年同月比は約10％落ち込んでいる。,
